iter	Passed	Remaining
630	6363	18849
631	6373	18838
632	6382	18825
633	6391	18812
634	6400	18798
635	6410	18786
636	6419	18773
637	6428	18761
638	6436	18746
639	6446	18734
640	6455	18722
641	6464	18709
642	6474	18699
643	6484	18688
644	6495	18681
645	6506	18674
646	6516	18664
647	6527	18656
648	6539	18652
649	6551	18647
650	6561	18635
651	6570	18623
652	6579	18609
